partner,max_people,total_m3,m3_middle_area,m3_khan_younis,m3_gaza,m3_north_gaza,m3_rafah,pct_middle_area,pct_khan_younis,pct_gaza,pct_north_gaza,pct_rafah,pct_cluster_max_people,pct_cluster_m3,rank_max_people,rank_m3,error
AAH,371688,10500,2920,3170,2810,1600,,27.08,29.4,26.03,14.87,,22.8415,6.8902,3,4,
ACTED,33382,0,,,,,,,,,,,2.0514,0,34,50,
AFSC,78822,940,30,473,437,,,3.11,49.02,45.28,,,4.8439,0.6168,21,24,
AH,123693,2820,1660,,1160,,,58.78,,41.04,,,7.6013,1.8505,17,14,
AIOCP,351983,3560,500,490,1500,1070,,13.97,13.85,42.21,29.97,,21.6305,2.3361,4,12,
ANERA,70179,901.89,330.8,427.3,143.79,,,36.58,47.25,15.9,,,4.3127,0.5918,25,25,
BLDA,4165,0,,,,,,,,,,,0.256,0,57,51,
CARE,225565,2860,400,1260,1200,,,13.84,44.13,42.03,,,13.8617,1.8768,7,13,
CCP-Japan,56644,824,350,160,314,,,42.17,19.28,37.83,,,3.481,0.5407,26,26,
CESVI,7504,88.5,20,21,45,2.5,,22.6,23.73,50.85,2.82,,0.4611,0.0581,55,48,
CMWU,119233,2400,,2170,,,230,,88.04,,,9.37,7.3273,1.5749,18,17,
CRS,37124,618,,160,448,10,,,25.89,72.49,1.62,,2.2814,0.4055,30,29,
DCA/NCA,31284,255,,225,30,,,,88.24,11.76,,,1.9225,0.1673,37,39,
DFD,999,0,,,,,,,,,,,0.0614,0,60,52,
FAFD,137333,1790,120,,1370,300,,6.7,,76.54,16.76,,8.4396,1.1746,15,21,
GDD,173100,3860,550,610,1930,770,,13.76,15.26,48.54,19.25,,10.6376,2.533,11,9,
GEM,8292,1740,1100,530,110,,,62.64,30.34,6.26,,,0.5096,1.1418,54,22,
HA,15138,160.748,48.167,21.715,90.866,,,28.47,12.83,53.71,,,0.9303,0.1055,48,42,
HF,288153,2540,,350,1910,280,,,13.61,73.97,10.85,,17.708,1.6668,5,15,
IDRF,51666,605.6,76.6,154,260,115,,12.4,24.94,42.1,18.62,,3.175,0.3974,27,31,
IHH,21760,126,,10,70,46,,,7.94,55.56,36.51,,1.3372,0.0827,43,45,
IMC,41330,791.9,258.7,484.2,49,,,32.67,61.14,6.19,,,2.5399,0.5197,28,27,
IRC,36664,270,,220,50,,,,75.86,17.24,,,2.2531,0.1772,31,38,
IRW,17600,0,,,,,,,,,,,1.0816,0,46,53,
IWWAA,73500,610,,,490,120,,,,80.33,19.67,,4.5168,0.4003,24,30,
MAAN,248896,3630,1440,1810,380,,,39.11,49.07,10.32,,,15.2955,2.382,6,11,
MAP-UK,74418,488.6,45,285,158.6,,,8.82,55.88,31.1,,,4.5732,0.3206,23,34,
MC,8572,0,,,,,,,,,,,0.5268,0,53,54,
MECA,215465,7640,1540,2930,2530,640,,19.69,37.33,32.28,8.14,,13.241,5.0135,9,5,
MSF-F,38900,4200,530,710,1700,1260,,12.61,16.83,39.98,29.66,,2.3905,2.7561,29,8,
MSF-OCB,34367,377.7,22,225.2,130.5,,,5.68,58.16,33.7,,,2.112,0.2479,33,35,
MSF-S,94509,1369,268,449,652,,,19.58,32.8,47.63,,,5.8079,0.8984,20,23,
Mentor,11000,130,40,90,,,,30.77,69.23,,,,0.676,0.0853,50,43,
NPA,3666,40.13,,,23.31,16.82,,,,58.09,41.91,,0.2253,0.0263,58,49,
NRC,133567,1988.4,216,818.7,691.6,262.1,,10.86,41.17,34.78,13.18,,8.2081,1.3048,16,19,
OCK3,155898,15560,3880,7430,1600,,2650,24.93,47.75,10.29,,17.02,9.5804,10.2106,12,3,
Other,17556,0,,,,,,,,,,,1.0789,0,47,55,
